,no2poly_m3_h,fe_m3_h,ts_mg_L,no2con_hz,no2conp_hz,feed_m3_h,dehydro_hz,screw_mm,no1poly_m3_h,con_pre_mpa
187,0.025,23.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
188,0.025,23.79999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
189,0.025,23.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
190,0.025,23.999999999999968,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
191,0.025,24.099999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
192,0.025,24.199999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
193,0.025,24.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
194,0.025,24.399999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
195,0.025,24.499999999999964,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
196,0.025,24.599999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
197,0.025,24.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
198,0.025,24.799999999999965,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
199,0.025,24.899999999999963,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
200,0.05,15.0,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
201,0.05,15.1,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
202,0.05,15.2,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
203,0.05,15.299999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
204,0.05,15.399999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
205,0.05,15.499999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
206,0.05,15.599999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
207,0.05,15.699999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
208,0.05,15.799999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
209,0.05,15.899999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
210,0.05,15.999999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
211,0.05,16.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
212,0.05,16.199999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
213,0.05,16.299999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
214,0.05,16.399999999999995,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
215,0.05,16.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
216,0.05,16.599999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
217,0.05,16.699999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
218,0.05,16.799999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
219,0.05,16.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
220,0.05,16.999999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
221,0.05,17.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
222,0.05,17.199999999999992,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
223,0.05,17.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
224,0.05,17.39999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
225,0.05,17.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
226,0.05,17.59999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
227,0.05,17.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
228,0.05,17.79999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
229,0.05,17.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
230,0.05,17.99999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
231,0.05,18.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
232,0.05,18.19999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
233,0.05,18.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
234,0.05,18.399999999999988,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
235,0.05,18.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
236,0.05,18.599999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
237,0.05,18.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
238,0.05,18.799999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
239,0.05,18.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
240,0.05,18.999999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
241,0.05,19.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
242,0.05,19.199999999999985,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
243,0.05,19.299999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
244,0.05,19.399999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
245,0.05,19.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
246,0.05,19.599999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
247,0.05,19.69999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
248,0.05,19.799999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
249,0.05,19.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
250,0.05,19.999999999999982,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
251,0.05,20.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
252,0.05,20.19999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
253,0.05,20.299999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
254,0.05,20.39999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
255,0.05,20.49999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
256,0.05,20.59999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
257,0.05,20.69999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
258,0.05,20.79999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
259,0.05,20.899999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
260,0.05,20.99999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
261,0.05,21.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
262,0.05,21.199999999999978,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
263,0.05,21.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
264,0.05,21.399999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
265,0.05,21.49999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
266,0.05,21.599999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
267,0.05,21.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
268,0.05,21.799999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
269,0.05,21.899999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
270,0.05,21.999999999999975,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
