,ts_g_l,feed_m3_h,thr_kgts_h,poly_per_ts,fe_per_ts,str_rpm,con_rpm,ts_rpm,plugs_rpm,pitch_mm
192,6.232200000000001,2.486800000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
193,6.232200000000001,2.522200000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
194,6.232200000000001,2.5576000000000043,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
195,6.232200000000001,2.5930000000000044,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
196,6.232200000000001,2.6284000000000045,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
197,6.232200000000001,2.6638000000000046,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
198,6.232200000000001,2.6992000000000047,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
199,6.232200000000001,2.734600000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
200,6.499600000000001,1.0,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
201,6.499600000000001,1.0354,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
202,6.499600000000001,1.0708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
203,6.499600000000001,1.1062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
204,6.499600000000001,1.1416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
205,6.499600000000001,1.1770000000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
206,6.499600000000001,1.2124000000000006,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
207,6.499600000000001,1.2478000000000007,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
208,6.499600000000001,1.2832000000000008,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
209,6.499600000000001,1.3186000000000009,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
210,6.499600000000001,1.354000000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
211,6.499600000000001,1.389400000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
212,6.499600000000001,1.4248000000000012,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
213,6.499600000000001,1.4602000000000013,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
214,6.499600000000001,1.4956000000000014,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
215,6.499600000000001,1.5310000000000015,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
216,6.499600000000001,1.5664000000000016,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
217,6.499600000000001,1.6018000000000017,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
218,6.499600000000001,1.6372000000000018,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
219,6.499600000000001,1.6726000000000019,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
220,6.499600000000001,1.708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
221,6.499600000000001,1.743400000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
222,6.499600000000001,1.7788000000000022,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
223,6.499600000000001,1.8142000000000023,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
224,6.499600000000001,1.8496000000000024,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
225,6.499600000000001,1.8850000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
226,6.499600000000001,1.9204000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
227,6.499600000000001,1.9558000000000026,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
228,6.499600000000001,1.9912000000000027,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
229,6.499600000000001,2.026600000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
230,6.499600000000001,2.062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
231,6.499600000000001,2.097400000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
232,6.499600000000001,2.132800000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
233,6.499600000000001,2.1682000000000032,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
234,6.499600000000001,2.2036000000000033,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
235,6.499600000000001,2.2390000000000034,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
236,6.499600000000001,2.2744000000000035,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
237,6.499600000000001,2.3098000000000036,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
238,6.499600000000001,2.3452000000000037,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
239,6.499600000000001,2.380600000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
240,6.499600000000001,2.416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
241,6.499600000000001,2.451400000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
242,6.499600000000001,2.486800000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
243,6.499600000000001,2.522200000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
244,6.499600000000001,2.5576000000000043,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
245,6.499600000000001,2.5930000000000044,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
246,6.499600000000001,2.6284000000000045,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
247,6.499600000000001,2.6638000000000046,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
248,6.499600000000001,2.6992000000000047,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
249,6.499600000000001,2.734600000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
250,6.767000000000001,1.0,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
251,6.767000000000001,1.0354,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
252,6.767000000000001,1.0708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
253,6.767000000000001,1.1062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
254,6.767000000000001,1.1416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
